country,ccode,year,tier,minstand,efforts,TRAFFICKING_FLOWS,source,source_order,transit,transit_order,destination,destination_order,internal,TRAFFICKING_TYPES,psource,ptransit,pdest,pinternal,lsource,ltransit,ldest,linternal,dsource,dtransit,ddest,dinternal,dssource,dstransit,dsdest,dsinternal,cpsource,cptransit,cpdest,cpinternal,clsource,cltransit,cldest,clinternal,cssource,cstransit,csdest,csinternal,PROSECUTION,domesticlaws,enforcement,convictinfo,prosnum,PROTECTION,protectprogress,victimid,victimservices,victimpunish,PREVENTION,preventprogress,INTERNATIONAL_LAWS,UNP_sign,UNP_rat,ILO182,ILO29,ILO105,CEDAW_sign,CEDAW_rat,UNCRC_sign,UNCRC_rat,conflict_sign,conflict_rat
United States,2.0,2001,Special Case,No mention,No mention,,No,No mention,Yes,First mention,Yes,Second mention,No,,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,,Some,No mention,No mention,,,Yes,No mention,No mention,No mention,,Yes,,13 Dec 2000Ê,Ê3 Nov 2005Ê,1999-12-02,,1991-09-25,17 Jul 1980Ê,,Ê5 Jul 2000Ê,23 Dec 2002Ê,Ê5 Jul 2000Ê,23 Dec 2002Ê
United States,2.0,2002,Special Case,No mention,No mention,,No,No mention,Yes,First mention,Yes,Second mention,No,,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,,Some,No mention,No mention,,,No mention,No mention,No mention,No mention,,Yes,,13 Dec 2000Ê,Ê3 Nov 2005Ê,1999-12-02,,1991-09-25,17 Jul 1980Ê,,Ê5 Jul 2000Ê,23 Dec 2002Ê,Ê5 Jul 2000Ê,23 Dec 2002Ê
United States,2.0,2003,Special Case,No mention,No mention,,No,No mention,No,No mention,Yes,First mention,No,,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,,Some,Yes,No mention,,,Yes,No mention,No,No mention,,Yes,,13 Dec 2000Ê,Ê3 Nov 2005Ê,1999-12-02,,1991-09-25,17 Jul 1980Ê,,Ê5 Jul 2000Ê,23 Dec 2002Ê,Ê5 Jul 2000Ê,23 Dec 2002Ê
United States,2.0,2004,Special Case,No mention,No mention,,No,No mention,No,No mention,Yes,First mention,No,,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,,Some,Yes,Yes,,,Yes,No mention,No,No mention,,Yes,,13 Dec 2000Ê,Ê3 Nov 2005Ê,1999-12-02,,1991-09-25,17 Jul 1980Ê,,Ê5 Jul 2000Ê,23 Dec 2002Ê,Ê5 Jul 2000Ê,23 Dec 2002Ê
United States,2.0,2005,Special Case,No mention,No mention,,No,No mention,No,No mention,Yes,First mention,No,,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,,Some,Yes,Yes,59.0,,Yes,No mention,No,No mention,,Yes,,13 Dec 2000Ê,Ê3 Nov 2005Ê,1999-12-02,,1991-09-25,17 Jul 1980Ê,,Ê5 Jul 2000Ê,23 Dec 2002Ê,Ê5 Jul 2000Ê,23 Dec 2002Ê
United States,2.0,2007,Special Case,No mention,No mention,,Yes,First mention,No,No mention,Yes,Second mention,Yes,,Yes,No mention,Yes,Yes,Yes,No mention,Yes,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,Yes,No mention,Yes,No mention,Yes,No mention,No mention,No mention,No mention,No mention,,Yes,Yes,Yes,186.0,,Yes,No mention,No,No mention,,Some,,13 Dec 2000Ê,Ê3 Nov 2005Ê,1999-12-02,,1991-09-25,17 Jul 1980Ê,,Ê5 Jul 2000Ê,23 Dec 2002Ê,Ê5 Jul 2000Ê,23 Dec 2002Ê
United States,2.0,2008,Special Case,No mention,No mention,,No,No mention,No,No mention,Yes,First mention,Yes,,No mention,No mention,Yes,Yes,No mention,No mention,Yes,Yes,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,,Yes,Yes,Yes,195.0,,Yes,No mention,No,No mention,,Yes,,13 Dec 2000Ê,Ê3 Nov 2005Ê,1999-12-02,,1991-09-25,17 Jul 1980Ê,,Ê5 Jul 2000Ê,23 Dec 2002Ê,Ê5 Jul 2000Ê,23 Dec 2002Ê
United States,2.0,2009,Special Case,No mention,No mention,,No,No mention,No,No mention,Yes,First mention,Yes,,No mention,No mention,Yes,Yes,No mention,No mention,Yes,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,,Yes,Yes,Yes,230.0,,Yes,No mention,No,No mention,,Yes,,13 Dec 2000Ê,Ê3 Nov 2005Ê,1999-12-02,,1991-09-25,17 Jul 1980Ê,,Ê5 Jul 2000Ê,23 Dec 2002Ê,Ê5 Jul 2000Ê,23 Dec 2002Ê
United States,2.0,2010,Tier 1,Yes,Yes,,Yes,First mention,Yes,Second mention,Yes,Third mention,No,,Yes,Yes,Yes,No mention,Yes,Yes,Yes,No mention,Yes,Yes,Yes,No mention,No mention,No mention,No mention,No mention,Yes,Yes,Yes,No mention,Yes,Yes,Yes,No mention,No mention,No mention,No mention,No mention,,Yes,Yes,Yes,265.0,,Yes,Yes,No,Yes,,Yes,,13 Dec 2000Ê,Ê3 Nov 2005Ê,1999-12-02,,1991-09-25,17 Jul 1980Ê,,Ê5 Jul 2000Ê,23 Dec 2002Ê,Ê5 Jul 2000Ê,23 Dec 2002Ê
United States,2.0,2011,Tier 1,Yes,2,,Yes,First mention,Yes,Second mention,Yes,Third mention,No,,Yes,Yes,Yes,No mention,Yes,Yes,Yes,No mention,Yes,Yes,Yes,No mention,Yes,Yes,Yes,No mention,Yes,Yes,Yes,No mention,Yes,Yes,Yes,No mention,No mention,No mention,No mention,No mention,,Yes,Yes,Yes,181.0,,Yes,Yes,No,Yes,,Yes,,13 Dec 2000Ê,Ê3 Nov 2005Ê,1999-12-02,,1991-09-25,17 Jul 1980Ê,,Ê5 Jul 2000Ê,23 Dec 2002Ê,Ê5 Jul 2000Ê,23 Dec 2002Ê
Canada,20.0,2001,Tier 1,Yes,Yes,,No,No mention,Yes,First mention,Yes,Second mention,Yes,,No mention,Yes,Yes,Yes,No mention,Yes,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,,Some,Yes,No mention,,,No mention,No mention,No mention,No mention,,No mention,,14 Dec 2000Ê,13 May 2002Ê,2000-06-06,2011-06-13,1959-07-14,17 Jul 1980Ê,10 Dec 1981Ê,10 Nov 2001Ê,14 Sep 2005Ê,Ê5 Jun 2000Ê,Ê7 Jul 2000Ê
Canada,20.0,2002,Tier 1,Yes,Yes,,No,No mention,Yes,Second mention,Yes,First mention,No,,No mention,Yes,Yes,No mention,No mention,Yes,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,Yes,No mention,No mention,Yes,Yes,No mention,No mention,No mention,No mention,No mention,,Yes,Yes,No mention,,,No mention,No mention,Yes,No mention,,Yes,,14 Dec 2000Ê,13 May 2002Ê,2000-06-06,2011-06-13,1959-07-14,17 Jul 1980Ê,10 Dec 1981Ê,10 Nov 2001Ê,14 Sep 2005Ê,Ê5 Jun 2000Ê,Ê7 Jul 2000Ê
